"","GF.grp","Group.extent","Group.percentage","Between-Group.Sim.percentage"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",5,0,0,0
"6",6,0,0,0
"7",7,0,0,0
"8",8,0,0,0
"9",9,130,0.1,0.1
"10",10,0,0,0
"11",11,42,1.5,1.7
"12",12,3769,2,2
"13",13,21,0,0
"14",14,58,0.4,0.2
"15",15,93,6,6.2
"16",16,1620,2.9,2.8
"17",17,1790,4.6,4.5
"18",18,1891,46.4,47.4
"19",19,128,19.5,16.6
"20",20,405,0.6,0.5
"21",21,279,0.5,0.5
"22",22,913,0.4,0.3
"23",23,1,0,0
"24",24,0,0,0
"25",25,0,0,0
"26",26,0,0,0
"27",27,316,70.1,72.9
"28",28,6239,25.8,25.7
"29",29,2233,40.9,40.7
"30",30,1919,3.3,3.2
"31",31,25,0.5,0.5
"32",32,485,5,4.7
"33",33,3,0,0
"34",34,2,0,0
"35",35,0,0,0
"36",36,0,0,0
"37",37,883,4.5,4.3
"38",38,1,0,0
"39",39,75,0.6,0.6
"40",40,1011,32.7,32.5
"41",41,37,1.1,1
"42",42,26,0.9,0.7
"43",43,0,0,0
"44",44,30,2.9,2.5
"45",45,65,24.5,27.9
"46",46,0,0,0
"47",47,0,0,0
"48",48,0,0,0
"49",49,0,0,0
"50",50,0,0,0
"51",51,0,0,0
"52",52,0,0,0
"53",53,0,0,0
"54",54,0,0,0
"55",55,0,0,0
"56",56,0,0,0
"57",57,0,0,0
"58",58,0,0,0
"59",59,0,0,0
"60",60,0,0,0
"61",61,0,0,0
"62",62,0,0,0
"63",63,1,0,0
"64",64,38,0.2,0.2
"65",65,0,0,0
"66",66,0,0,0
"67",67,0,0,0
"68",68,0,0,0
"69",69,0,0,0
"70",70,0,0,0
"71",71,9,1.7,0.8
"72",72,0,0,0
"73",73,0,0,0
"74",74,0,0,0
"75",75,0,0,0
